,Job Name,Job Company,Job City,Job Country,Job Type,Job Level,Job Level Years,Job Skills,Job Date
29,Data Analyst,Cairo Three A Poultry,New Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Analyst/Research, Power BI, Tableau, Data Analysis, SQL",8 hours ago
30,Senior Data Warehouse Architect,Confidential,Kuwait City,Kuwait,Full Time,Experienced,3 - 5 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Project/Program Management, Tourism/Travel, Azure, SQL, ETL, Data Warehousing, Database",4 days ago
31,Data Analyst Specialist - FMCG,Confidential,Obour City,Egypt,Full Time,Experienced,3 - 4 Yrs of Exp,"Hospitality/Hotels/Food Services, Manufacturing/Production, Analyst/Research, analytical, Computer Science, business, Analysis, Data Analysis, Statistics, Tableau",2 months ago
32,Senior Data Engineer ( Informatica Experience),BBI,Nasr City,Egypt,Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development, Information Technology (IT), ETL, Computer Science, SQL, Data Analysis, Analysis",2 months ago
33,Data Analyst,Helal Group,New Cairo,Egypt,Full Time,Experienced,3 - 5 Yrs of Exp,"Analyst/Research, Data, Data Analyst, Data Analysis, Analysis, analytical, Analyst",8 hours ago
34,Data Analyst,BTC,Cairo,Egypt,Full Time,Entry Level,0 - 2 Yrs of Exp,"Analyst/Research, analytical, Analysis, Data, Data Analysis, Data Analyst",3 days ago
35,Coders - AI Training,Braintrust,San Francisco,United States,Part Time,Entry Level,IT/Software Development,"Engineering - Telecom/Technology, python, computer science, java, coding, HTML, C+, C#, .Net",30 days ago
36,Remote Python Data Science Analyst,Turing,Cairo,Egypt,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), python, software development, engineering, sql, analysis",8 days ago
37,Remote Data Science Analyst,Turing,Cairo,Egypt,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), software development, engineering, sql, analysis, python",8 days ago
38,Data Analyst,Hamza Group,Dokki,Egypt,Full Time,Experienced,2 - 3 Yrs of Exp,"Analyst/Research, Analysis, Data, Data Analysis, Data visualization, Data Collection, Data Mining, Reporting, Data Cleaning and Preprocessing, Data Quality Assurance",17 days ago
39,Sr. Network and Security Engineer,Compuroots,Nasr City,Egypt,Full Time,Experienced,3 - 6 Yrs of Exp,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Cisco, Networking, Security, Information Technology (IT), FortiGate, Computer Science, Microsoft",1 month ago
40,Data Science Analytics Analyst,Accenture Middle East,Dubai,United Arab Emirates,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), software development, engineering, sql, python, science",24 days ago
41,Senior Data Analyst,Trufla,Cairo,Egypt,Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development, Analyst/Research, Analysis, Information Technology (IT), Computer Science, business, Data Analysis, Data, Economics, Engineering",2 months ago
42,Data Science Analytics Analyst,Accenture,Abu Dhabi,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), software development, engineering, sql, python, science",29 days ago
43,iOS Developer,Madar Soft,Fleming,Egypt,Full Time,Experienced,2 - 3 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Objective-C, RESTful APIs, Computer Science, Core Data, Information Technology (IT), Git, RESTful, Swift",1 month ago
44,Group IT Manager (MS Dynamics Experience),Confidential,New Cairo,Egypt,Full Time,Senior Management,16+ Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Microsoft Dynamics CRM, microsoft dynamics 365, CRM, Computer Science, data centers, Project Management, Information Technology (IT), ERP",2 months ago
45,Data Engineer - Skills Acquisition,PrecisionHire Solutions,Makkah,Saudi Arabia,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Computer Engineering, Engineering, Software Engineering, Software Development, SQL",2 days ago
46,Data Engineer (KSA) - WSP,PrecisionHire Solutions,Riyadh,Saudi Arabia,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Computer Engineering, Engineering, Software Engineering, Software Development, SQL",2 days ago
47,Work From Home Data Entry Assistant (Remote),Infinite Wisdom Inc d/b/a Enerjiggle Bounce Emporium,Riyadh,Saudi Arabia,Full Time,Not specified,Administration,"IT/Software Development, Engineering - Telecom/Technology, microsoft office, administration, information technology (it), computer science, data entry, communication skills, management",1 day ago
48,Senior Data Center Engineer - Giza Systems EG,PrecisionHire Solutions,Riyadh,Saudi Arabia,Full Time,Experienced,Installation/Maintenance/Repair,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Engineering, Computer Engineering, Software Engineering, Cisco, EMC",2 days ago
49,Senior Data Product Manager,Careem,Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Marketing/PR/Advertising, Project/Program Management, Marketing, Computer Science, Product Management, Sales, Information Technology (IT), Advertising, MBA",2 days ago
50,Data Governance Specialist,Abdullah Abdulghani & Bros.Co. (AAB),Doha,Qatar,Full Time,Not specified,Administration,"IT/Software Development, Analyst/Research, Data Entry, Administration, Microsoft Office, Admin, Computer Skills, Typing, Customer Service",2 days ago
51,Data Scientist (Arabic Speaking),INVADE Solutions LTD,Dubai,United Arab Emirates,Freelance / Project,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",4 days ago
52,Data Scientist,INVADE Solutions LTD,Dubai,United Arab Emirates,Freelance / Project,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",4 days ago
53,Data Entry Opportunities For Remote Work,VideoCustomizer,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, microsoft office, data entry, communication skills, management",3 days ago
54,Remote Work-From-Home Data Entry Role,VideoCustomizer,Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, remote",4 days ago
55,Data Scientist Instructor,Pianat.ai,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Machine Learning, Data Scientist",4 days ago
56,Senior Data Warehouse Architect,Adecco,Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Logistics/Supply Chain, Engineering - Telecom/Technology, information technology (it), computer science, software development, engineering, sql, java, etl",4 days ago
57,Data Management and Governance Trainer,Pianat.ai,Riyadh,Saudi Arabia,Full Time,Not specified,Human Resources,"IT/Software Development, Engineering - Telecom/Technology, information technology (it), microsoft office, computer science, engineering, management, project management, training",4 days ago
58,Data Management,Pianat.ai,Riyadh,Saudi Arabia,Full Time,Not specified,Administration,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Microsoft Office, Data Entry, Computer Science, Administration, Data Analysis, Office Management",4 days ago
59,Data entry opportunities for remote work,"Henninge Virtual Assistant Services, LLC",Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, microsoft office, data entry, communication skills, management",6 days ago
60,Data Entry Roles Remote Work (Part-Time/Full-Time),"OPTICDATA, S.L.",Riyadh,Saudi Arabia,Full Time,Not specified,Accounting/Finance,"IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, microsoft office, engineering, data entry, management, communication skills",7 days ago
61,Data Scientist,Mendel.ai,Cairo,Egypt,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",8 days ago
62,Data Entry Opportunities For Remote Work From Home,CSI Advisory Services,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, data entry, communication skills",8 days ago
63,Data Entry Opportunities For Remote Work From Home,"Safe Access, Inc",Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, data entry, communication skills",8 days ago
64,Data Analyst,Truelancer.com,Riyadh,Saudi Arabia,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",8 days ago
65,Data Governance and Compliance Lead Expert,"Zakat, Tax and Customs Authority",Riyadh,Saudi Arabia,Full Time,Experienced,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, engineering, microsoft office, management, science, design",8 days ago
66,Remote Data Entry Opportunities Work-From-Home,IVY Models&Promotion,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, data entry, communication skills",8 days ago
67,Data Entry Opportunities For Remote Work,"Mirlyn, Inc",Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, microsoft office, data entry, communication skills, management",9 days ago
68,Remote Work-From-Home Data Entry Role,Acme Files,Dubai,United Arab Emirates,Part Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, maintenance",9 days ago
69,Remote Work Opportunities Data Entry Role,Acme Files,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, management, communication skills",9 days ago
70,Remote Work-From-Home Data Entry Role,MJB e,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, maintenance",10 days ago
71,Remote Work Opportunities Data Entry Role,MJB e,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, management, communication skills",10 days ago
72,Remote Data Entry Work - Part Time/Full Time,MJB e,Riyadh,Saudi Arabia,Full Time,Not specified,Accounting/Finance,"IT/Software Development, Engineering - Telecom/Technology, computer science, information technology (it), microsoft office, administration, data entry, communication skills, maintenance",10 days ago
73,Remote Work-From-Home Data EntryRemote Role,Activnet,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, remote, maintenance, quality assurance",10 days ago
74,Remote Work-From-Home Data EntryRemote Role,Code Cooking,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, remote, maintenance, quality assurance",11 days ago
75,Remote Work-From-Home Data Entry Role,Code Cooking,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, maintenance",11 days ago
76,Work-From-Home Data Entry Positions,Code Cooking,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Sales/Retail, Engineering - Telecom/Technology, microsoft office, information technology (it), sales, computer science, data entry, communication skills, management",11 days ago
77,HR Data Analyst,IKK Group – Isam Khairi Kabbani Group,Makkah,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), Microsoft Office, SQL, Microsoft Excel",11 days ago
78,Data Analyst,iSchool Limited,Cairo,Egypt,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",11 days ago
79,Entry level Tasks (Remote Data entry operator),Interactive Labs,Dubai,United Arab Emirates,Full Time,Not specified,R&D/Science,"Engineering - Oil & Gas/Energy, Engineering - Other, Engineering, Science, LWD, Administration, Chemistry, Communication Skills, Computer Science",5 days ago
80,Remote Data Entry Positions (Work-From-Home),Boree Potash Pty Ltd,Dubai,United Arab Emirates,Full Time,Not specified,Accounting/Finance,"IT/Software Development, Engineering - Telecom/Technology, computer science, information technology (it), customer service, engineering, microsoft office, data entry, management",11 days ago
81,Remote Data Entry Positions (Work-From-Home),Activnet,Dubai,United Arab Emirates,Full Time,Not specified,Accounting/Finance,"IT/Software Development, Engineering - Telecom/Technology, computer science, information technology (it), customer service, engineering, microsoft office, data entry, management",12 days ago
82,"Data Center Operations Cluster Leader KSA (Saudi National), DCC Communities",Amazon Web Services (AWS),Riyadh,Saudi Arabia,Full Time,Experienced,Customer Service/Support,"IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, customer service, call center, operations, management, engineering",6 days ago
83,"Data Center Operations Cluster Manager, DCC Communities",Amazon Web Services (AWS),Riyadh,Saudi Arabia,Full Time,Experienced,Customer Service/Support,"IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, customer service, customer support, engineering, management, operations",7 days ago
84,"Data Centre Engineering Facility Manager, DCC Communities",Amazon Web Services (AWS),Riyadh,Saudi Arabia,Full Time,Experienced,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, engineering, information technology (it), computer science, mechanical engineering, electrical engineering, maintenance, project management",7 days ago
85,"Data Center Engineering Operations Cluster Manager, DCC Communities",Amazon Web Services (AWS),Riyadh,Saudi Arabia,Full Time,Experienced,Installation/Maintenance/Repair,"IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, engineering, linux, maintenance, networking, software",7 days ago
86,Data & Analytics Executive,Mindshare NA,Riyadh,Saudi Arabia,Full Time,Not specified,Administration,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Data Entry, Microsoft Office, Administration, Data Analysis, Software Development",13 days ago
87,Entry-Level Tasks (Remote Data Entry Operator),"Mirlyn, Inc",Riyadh,Saudi Arabia,Full Time,Not specified,R&D/Science,"Engineering - Oil & Gas/Energy, Engineering - Other, Engineering, Science, LWD, Administration, Chemistry, Communication Skills, Computer Science",9 days ago
88,Data Scientist,MBC Group,Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",15 days ago
89,Data Insights Manager,MediaMonks,Cairo,Egypt,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Data Management, Microsoft Office, Market Research, Marketing, SQL",15 days ago
90,Flexible Remote Work - Data Entry Clerk,Code Cooking,Riyadh,Saudi Arabia,Full Time,Not specified,Customer Service/Support,"Operations/Management, Marketing/PR/Advertising, Customer Support, Management, Computer Science, Customer Service, E-commerce, English, Marketing",11 days ago
91,Data Analyst (OTT Platform Experience),Virtasant,Doha,Qatar,Freelance / Project,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",16 days ago
92,Data Analyst,Epson Middle East,Dubai,United Arab Emirates,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",16 days ago
93,Remote Python Data Scientist,Turing,Cairo,Egypt,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, information technology (it), python, computer science, computer engineering, sql, engineering, data science",16 days ago
94,Data Analyst,Steer Studios,Riyadh,Saudi Arabia,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",16 days ago
95,Senior Data Analyst,QUANT,Riyadh,Saudi Arabia,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Data Analysis, Business Analysis, Microsoft Office, SQL",17 days ago
96,Senior Data Scientist,Siemens Technology and Services Private Limited,Cairo,Egypt,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), SQL, Python, Engineering, Data Analysis, Software Development",17 days ago
97,Compliance Officer – Data Products,Dicetek LLC,Dubai,United Arab Emirates,Freelance / Project,Experienced,IT/Software Development,"Quality, Engineering - Telecom/Technology, engineering, microsoft office, information technology (it), computer science, quality, management, operations",16 days ago
98,Data management Business Analyst,Cloudberry Solutions,Cairo,Egypt,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Information Technology (IT), Computer Science, Analysis, Project Management, Business Development, Software Development",19 days ago
99,Remote Data Scientist,Turing,Cairo,Egypt,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Machine Learning, Data Scientist",19 days ago
100,Senior Data Engineer,Turing,Cairo,Egypt,Full Time,Experienced,IT/Software Development,"Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, Engineering, Information Technology (IT), Computer Science, Software Engineering, Software Development, Computer Engineering, Mechanical Engineering",16 days ago
101,Data Engineer - Global/Remote,MixRank,Cairo,Egypt,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Computer Engineering, Engineering, Software Engineering, Software Development, SQL",21 days ago
102,Data Analyst - GLOBALLY REMOTE,Amini,Dubai,United Arab Emirates,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",21 days ago
103,Senior Data Analyst,Hypemasters,Dubai,United Arab Emirates,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Data Analysis, Business Analysis, Microsoft Office, SQL",22 days ago
104,Data Scientist - BCG X,BCG X,Dubai,United Arab Emirates,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",22 days ago
105,Azure Solution Architect -Azure Data Analytics,SoftwareOne,Dubai,United Arab Emirates,Full Time,Experienced,Installation/Maintenance/Repair,"IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, software development, azure, sql, aws, agile",20 days ago
106,Senior AWS Big Data Engineer,Onica by Rackspace Technology,Cairo,Egypt,Full Time,Experienced,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Engineering, NoSQL, Big Data, Software Development, Computer Engineering",23 days ago
107,AWS Big Data Engineer,Rackspace Technology,Cairo,Egypt,Full Time,Entry Level,Installation/Maintenance/Repair,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), Big Data, Engineering, Software Engineering, Linux, AWS",23 days ago
108,SAP Data Lake & Report Design,Modis,Kuwait City,Kuwait,Full Time,Experienced,IT/Software Development,"Marketing/PR/Advertising, Engineering - Telecom/Technology, information technology (it), computer science, engineering, marketing, sap, english, design",23 days ago
109,Data Analyst,MDAR Food Company,Dubai,United Arab Emirates,Full Time,Entry Level,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",23 days ago
110,Principal Data Engineer,"Integrant, Inc.",Cairo,Egypt,Full Time,Not specified,IT/Software Development,"Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Engineering, Telecommunication, Software Engineering, Software Development, Computer Engineering",23 days ago
